"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","rawtemp","rawfeeltemp","rawhumidity","rawwindspeed","Group"
336,12/2/2011,"fall",2011,12,"no",5,"yes","clear",0.314167,0.331433,0.625833,0.100754,268,3672,3940,6.765849,5.874578,62.5833,6.750518,1
337,12/3/2011,"fall",2011,12,"no",6,"no","clear",0.299167,0.310604,0.612917,0.0957833,706,2908,3614,6.060849,4.499864,61.2917,6.4174811,1
339,12/5/2011,"fall",2011,12,"no",1,"yes","mist",0.385833,0.393925,0.827083,0.0622083,233,3578,3811,10.134151,9.99905,82.7083,4.1679561,1
340,12/6/2011,"fall",2011,12,"no",2,"yes","light precipitation",0.4625,0.4564,0.949583,0.232583,126,2468,2594,13.7375,14.1224,94.9583,15.583061,1
342,12/8/2011,"fall",2011,12,"no",4,"yes","clear",0.265833,0.256938,0.58,0.240058,150,3172,3322,4.494151,0.957908,58,16.083886,1
343,12/9/2011,"fall",2011,12,"no",5,"yes","clear",0.290833,0.317542,0.695833,0.0827167,261,3359,3620,5.669151,4.957772,69.5833,5.5420189,1
345,12/11/2011,"fall",2011,12,"no",0,"no","clear",0.220833,0.253154,0.49,0.0665417,377,2366,2743,2.379151,0.708164,49,4.4582939,1
348,12/14/2011,"fall",2011,12,"no",3,"yes","mist",0.3175,0.338362,0.66375,0.0609583,178,3562,3740,6.9225,6.331892,66.375,4.0842061,1
349,12/15/2011,"fall",2011,12,"no",4,"yes","mist",0.4225,0.412237,0.634167,0.268042,181,3528,3709,11.8575,11.207642,63.4167,17.958814,1
352,12/18/2011,"fall",2011,12,"no",0,"no","clear",0.238333,0.245579,0.58625,0.169779,220,2211,2431,3.201651,0.208213999999998,58.625,11.375193,1
353,12/19/2011,"fall",2011,12,"no",1,"yes","clear",0.276667,0.280933,0.6375,0.172896,260,3143,3403,5.003349,2.541578,63.75,11.584032,1
354,12/20/2011,"fall",2011,12,"no",2,"yes","mist",0.385833,0.396454,0.595417,0.0615708,216,3534,3750,10.134151,10.165964,59.5417,4.1252436,1
358,12/24/2011,"winter",2011,12,"no",6,"no","clear",0.3025,0.299242,0.5425,0.190304,155,856,1011,6.2175,3.749972,54.25,12.750368,1
359,12/25/2011,"winter",2011,12,"no",0,"no","clear",0.274783,0.279961,0.681304,0.155091,303,451,754,4.914801,2.477426,68.1304,10.391097,1
361,12/27/2011,"winter",2011,12,"no",2,"yes","mist",0.325,0.327633,0.7625,0.18845,103,1059,1162,7.275,5.623778,76.25,12.62615,1
362,12/28/2011,"winter",2011,12,"no",3,"yes","clear",0.29913,0.279974,0.503913,0.293961,255,2047,2302,6.05911,2.478284,50.3913,19.695387,1
365,12/31/2011,"winter",2011,12,"no",6,"no","clear",0.41,0.414121,0.615833,0.220154,665,1820,2485,11.27,11.331986,61.5833,14.750318,1
366,1/1/2012,"winter",2012,1,"no",0,"no","clear",0.37,0.375621,0.6925,0.192167,686,1608,2294,9.39,8.790986,69.25,12.875189,1
367,1/2/2012,"winter",2012,1,"yes",1,"no","clear",0.273043,0.252304,0.381304,0.329665,244,1707,1951,4.833021,0.652063999999999,38.1304,22.087555,1
370,1/5/2012,"winter",2012,1,"no",4,"yes","clear",0.265833,0.278412,0.524167,0.129987,140,3132,3272,4.494151,2.375192,52.4167,8.709129,1
371,1/6/2012,"winter",2012,1,"no",5,"yes","clear",0.334167,0.340267,0.542083,0.167908,307,3791,4098,7.705849,6.457622,54.2083,11.249836,1
372,1/7/2012,"winter",2012,1,"no",6,"no","clear",0.393333,0.390779,0.531667,0.174758,1070,3451,4521,10.486651,9.791414,53.1667,11.708786,1
373,1/8/2012,"winter",2012,1,"no",0,"no","clear",0.3375,0.340258,0.465,0.191542,599,2826,3425,7.8625,6.457028,46.5,12.833314,1
377,1/12/2012,"winter",2012,1,"no",4,"yes","mist",0.3825,0.381938,0.802917,0.180967,269,3828,4097,9.9775,9.207908,80.2917,12.124789,1
380,1/15/2012,"winter",2012,1,"no",0,"no","clear",0.166667,0.161625,0.419167,0.251258,284,2027,2311,-0.166651,-5.33275,41.9167,16.834286,1
385,1/20/2012,"winter",2012,1,"no",5,"yes","mist",0.2175,0.220958,0.45,0.20275,115,3048,3163,2.2225,-1.416772,45,13.58425,1
387,1/22/2012,"winter",2012,1,"no",0,"no","mist",0.1625,0.16225,0.79625,0.199638,196,1781,1977,-0.3625,-5.2915,79.625,13.375746,1
392,1/27/2012,"winter",2012,1,"no",5,"yes","mist",0.425,0.415383,0.74125,0.342667,269,3187,3456,11.975,11.415278,74.125,22.958689,1
393,1/28/2012,"winter",2012,1,"no",6,"no","clear",0.315833,0.326379,0.543333,0.210829,775,3248,4023,6.844151,5.541014,54.3333,14.125543,1
395,1/30/2012,"winter",2012,1,"no",1,"yes","clear",0.269167,0.262625,0.400833,0.215792,126,3498,3624,4.650849,1.33325,40.0833,14.458064,1
396,1/31/2012,"winter",2012,1,"no",2,"yes","clear",0.39,0.381317,0.416667,0.261817,324,4185,4509,10.33,9.166922,41.6667,17.541739,1
397,2/1/2012,"winter",2012,2,"no",3,"yes","clear",0.469167,0.466538,0.507917,0.189067,304,4275,4579,14.050849,14.791508,50.7917,12.667489,1
398,2/2/2012,"winter",2012,2,"no",4,"yes","mist",0.399167,0.398971,0.672917,0.187187,190,3571,3761,10.760849,10.332086,67.2917,12.541529,1
400,2/4/2012,"winter",2012,2,"no",6,"no","mist",0.264167,0.272725,0.779583,0.121896,384,2448,2832,4.415849,1.99985,77.9583,8.167032,1
401,2/5/2012,"winter",2012,2,"no",0,"no","mist",0.265833,0.264521,0.687917,0.175996,318,2629,2947,4.494151,1.458386,68.7917,11.791732,1
402,2/6/2012,"winter",2012,2,"no",1,"yes","clear",0.282609,0.296426,0.622174,0.1538,206,3578,3784,5.282623,3.564116,62.2174,10.3046,1
408,2/12/2012,"winter",2012,2,"no",0,"no","clear",0.1275,0.101658,0.464583,0.409212,73,1456,1529,-2.0075,-9.290572,46.4583,27.417204,1
410,2/14/2012,"winter",2012,2,"no",2,"yes","mist",0.319167,0.333946,0.50875,0.141179,135,3787,3922,7.000849,6.040436,50.875,9.458993,1
411,2/15/2012,"winter",2012,2,"no",3,"yes","clear",0.348333,0.351629,0.53125,0.1816,141,4028,4169,8.371651,7.207514,53.125,12.1672,1
414,2/18/2012,"winter",2012,2,"no",6,"no","clear",0.346667,0.355425,0.534583,0.190929,1435,2883,4318,8.293349,7.45805,53.4583,12.792243,1
416,2/20/2012,"winter",2012,2,"yes",1,"no","clear",0.28,0.273391,0.507826,0.229083,502,2627,3129,5.16,2.043806,50.7826,15.348561,1
419,2/23/2012,"winter",2012,2,"no",4,"yes","clear",0.454167,0.444446,0.554583,0.190913,516,4546,5062,13.345849,13.333436,55.4583,12.791171,1
420,2/24/2012,"winter",2012,2,"no",5,"yes","mist",0.4075,0.410971,0.7375,0.237567,246,3241,3487,11.1525,11.124086,73.75,15.916989,1
422,2/26/2012,"winter",2012,2,"no",0,"no","clear",0.279167,0.268308,0.41,0.205229,515,2874,3389,5.120849,1.708328,41,13.750343,1
423,2/27/2012,"winter",2012,2,"no",1,"yes","clear",0.366667,0.357954,0.490833,0.268033,253,4069,4322,9.233349,7.624964,49.0833,17.958211,1
424,2/28/2012,"winter",2012,2,"no",2,"yes","clear",0.359167,0.353525,0.395833,0.193417,229,4134,4363,8.880849,7.33265,39.5833,12.958939,1
425,2/29/2012,"winter",2012,2,"no",3,"yes","mist",0.344348,0.34847,0.804783,0.179117,65,1769,1834,8.184356,6.99902,80.4783,12.000839,1
430,3/5/2012,"winter",2012,3,"no",1,"yes","clear",0.243333,0.241171,0.50625,0.228858,203,3130,3333,3.436651,-0.0827140000000011,50.625,15.333486,1
434,3/9/2012,"winter",2012,3,"no",5,"yes","mist",0.410833,0.397083,0.407083,0.4148,447,4122,4569,11.309151,10.207478,40.7083,27.7916,1
436,3/11/2012,"winter",2012,3,"no",0,"no","clear",0.361739,0.35967,0.476957,0.222587,1658,3253,4911,9.001733,7.73822,47.6957,14.913329,1
437,3/12/2012,"winter",2012,3,"no",1,"yes","clear",0.466667,0.459592,0.489167,0.207713,838,4460,5298,13.933349,14.333072,48.9167,13.916771,1
438,3/13/2012,"winter",2012,3,"no",2,"yes","clear",0.565,0.542929,0.6175,0.23695,762,5085,5847,18.555,19.833314,61.75,15.87565,1
440,3/15/2012,"winter",2012,3,"no",4,"yes","clear",0.5575,0.532825,0.579583,0.149883,1005,5187,6192,18.2025,19.16645,57.9583,10.042161,1
441,3/16/2012,"winter",2012,3,"no",5,"yes","mist",0.435833,0.436229,0.842083,0.113192,548,3830,4378,12.484151,12.791114,84.2083,7.583864,1
442,3/17/2012,"winter",2012,3,"no",6,"no","mist",0.514167,0.505046,0.755833,0.110704,3155,4681,7836,16.165849,17.333036,75.5833,7.417168,1
444,3/19/2012,"winter",2012,3,"no",1,"yes","clear",0.545,0.532821,0.72875,0.162317,982,5171,6153,17.615,19.166186,72.875,10.875239,1
446,3/21/2012,"spring",2012,3,"no",3,"yes","mist",0.531667,0.513258,0.82125,0.0895583,1122,5108,6230,16.988349,17.875028,82.125,6.0004061,1
448,3/23/2012,"spring",2012,3,"no",5,"yes","mist",0.601667,0.570067,0.694167,0.1163,2469,5893,8362,20.278349,21.624422,69.4167,7.7921,1
451,3/26/2012,"spring",2012,3,"no",1,"yes","clear",0.445833,0.43875,0.477917,0.386821,795,4763,5558,12.954151,12.9575,47.7917,25.917007,1
456,3/31/2012,"spring",2012,3,"no",6,"no","mist",0.424167,0.421708,0.738333,0.250617,2301,3934,6235,11.935849,11.832728,73.8333,16.791339,1
457,4/1/2012,"spring",2012,4,"no",0,"no","mist",0.425833,0.417287,0.67625,0.172267,2347,3694,6041,12.014151,11.540942,67.625,11.541889,1
459,4/3/2012,"spring",2012,4,"no",2,"yes","clear",0.466667,0.461483,0.396667,0.100133,1348,5424,6772,13.933349,14.457878,39.6667,6.708911,1
460,4/4/2012,"spring",2012,4,"no",3,"yes","clear",0.541667,0.53345,0.469583,0.180975,1058,5378,6436,17.458349,19.2077,46.9583,12.125325,1
462,4/6/2012,"spring",2012,4,"no",5,"yes","clear",0.403333,0.390767,0.377083,0.300388,1807,4653,6460,10.956651,9.790622,37.7083,20.125996,1
463,4/7/2012,"spring",2012,4,"no",6,"no","clear",0.4375,0.426129,0.254167,0.274871,3252,3605,6857,12.5625,12.124514,25.4167,18.416357,1
466,4/10/2012,"spring",2012,4,"no",2,"yes","clear",0.446667,0.436233,0.435,0.249375,819,5099,5918,12.993349,12.791378,43.5,16.708125,1
468,4/12/2012,"spring",2012,4,"no",4,"yes","clear",0.3975,0.387604,0.46625,0.290429,663,4746,5409,10.6825,9.581864,46.625,19.458743,1
469,4/13/2012,"spring",2012,4,"no",5,"yes","clear",0.4425,0.431808,0.408333,0.155471,1252,5146,6398,12.7975,12.499328,40.8333,10.416557,1
470,4/14/2012,"spring",2012,4,"no",6,"no","clear",0.495,0.487996,0.502917,0.190917,2795,4665,7460,15.265,16.207736,50.2917,12.791439,1
471,4/15/2012,"spring",2012,4,"no",0,"no","clear",0.606667,0.573875,0.507917,0.225129,2846,4286,7132,20.513349,21.87575,50.7917,15.083643,1
472,4/16/2012,"spring",2012,4,"yes",1,"no","clear",0.664167,0.614925,0.561667,0.284829,1198,5172,6370,23.215849,24.58505,56.1667,19.083543,1
474,4/18/2012,"spring",2012,4,"no",3,"yes","mist",0.463333,0.457038,0.569167,0.167912,347,4020,4367,13.776651,14.164508,56.9167,11.250104,1
475,4/19/2012,"spring",2012,4,"no",4,"yes","clear",0.498333,0.493046,0.6125,0.0659292,846,5719,6565,15.421651,16.541036,61.25,4.4172564,1
477,4/21/2012,"spring",2012,4,"no",6,"no","clear",0.57,0.542921,0.682917,0.283587,2541,4083,6624,18.79,19.832786,68.2917,19.000329,1
479,4/23/2012,"spring",2012,4,"no",1,"yes","mist",0.321667,0.301125,0.766667,0.303496,195,3019,3214,7.118349,3.87425,76.6667,20.334232,1
481,4/25/2012,"spring",2012,4,"no",3,"yes","clear",0.476667,0.470317,0.427917,0.118792,655,5541,6196,14.403349,15.040922,42.7917,7.959064,1
482,4/26/2012,"spring",2012,4,"no",4,"yes","mist",0.498333,0.483583,0.756667,0.176625,475,4551,5026,15.421651,15.916478,75.6667,11.833875,1
486,4/30/2012,"spring",2012,4,"no",1,"yes","mist",0.464167,0.457696,0.57,0.171638,665,4907,5572,13.815849,14.207936,57,11.499746,1
495,5/9/2012,"spring",2012,5,"no",3,"yes","mist",0.575,0.553025,0.744167,0.216412,620,4097,4717,19.025,20.49965,74.4167,14.499604,1
498,5/12/2012,"spring",2012,5,"no",6,"no","clear",0.564167,0.544817,0.480417,0.123133,2622,4807,7429,18.515849,19.957922,48.0417,8.249911,1
499,5/13/2012,"spring",2012,5,"no",0,"no","clear",0.6125,0.585238,0.57625,0.225117,2172,3946,6118,20.7875,22.625708,57.625,15.082839,1
500,5/14/2012,"spring",2012,5,"no",1,"yes","mist",0.573333,0.5499,0.789583,0.212692,342,2501,2843,18.946651,20.2934,78.9583,14.250364,1
501,5/15/2012,"spring",2012,5,"no",2,"yes","mist",0.611667,0.576404,0.794583,0.147392,625,4490,5115,20.748349,22.042664,79.4583,9.875264,1
502,5/16/2012,"spring",2012,5,"no",3,"yes","clear",0.636667,0.595975,0.697917,0.122512,991,6433,7424,21.923349,23.33435,69.7917,8.208304,1
503,5/17/2012,"spring",2012,5,"no",4,"yes","clear",0.593333,0.572613,0.52,0.229475,1242,6142,7384,19.886651,21.792458,52,15.374825,1
507,5/21/2012,"spring",2012,5,"no",1,"yes","mist",0.598333,0.565667,0.81125,0.233204,630,3729,4359,20.121651,21.334022,81.125,15.624668,1
508,5/22/2012,"spring",2012,5,"no",2,"yes","mist",0.615,0.580825,0.765833,0.118167,819,5254,6073,20.905,22.33445,76.5833,7.917189,1
511,5/25/2012,"spring",2012,5,"no",5,"yes","clear",0.68,0.627529,0.747083,0.14055,1417,5317,6734,23.96,25.416914,74.7083,9.41685,1
513,5/27/2012,"spring",2012,5,"no",0,"no","clear",0.69,0.641425,0.697083,0.215171,3283,3308,6591,24.43,26.33405,69.7083,14.416457,1
516,5/30/2012,"spring",2012,5,"no",3,"yes","mist",0.656667,0.611129,0.67,0.134329,745,6110,6855,22.863349,24.334514,67,9.000043,1
519,6/2/2012,"spring",2012,6,"no",6,"no","clear",0.583333,0.566288,0.549167,0.186562,2795,5325,8120,19.416651,21.375008,54.9167,12.499654,1
522,6/5/2012,"spring",2012,6,"no",2,"yes","mist",0.540833,0.525892,0.613333,0.209575,968,6033,7001,17.419151,18.708872,61.3333,14.041525,1
526,6/9/2012,"spring",2012,6,"no",6,"no","clear",0.710833,0.648367,0.437083,0.144287,2708,4790,7498,25.409151,26.792222,43.7083,9.667229,1
527,6/10/2012,"spring",2012,6,"no",0,"no","clear",0.726667,0.663517,0.538333,0.133721,2224,4374,6598,26.153349,27.792122,53.8333,8.959307,1
529,6/12/2012,"spring",2012,6,"no",2,"yes","mist",0.653333,0.597875,0.833333,0.214546,477,4495,4972,22.706651,23.45975,83.3333,14.374582,1
531,6/14/2012,"spring",2012,6,"no",4,"yes","clear",0.648333,0.624383,0.569583,0.253733,1180,6183,7363,22.471651,25.209278,56.9583,17.000111,1
532,6/15/2012,"spring",2012,6,"no",5,"yes","clear",0.639167,0.599754,0.589583,0.176617,1563,6102,7665,22.040849,23.583764,58.9583,11.833339,1
534,6/17/2012,"spring",2012,6,"no",0,"no","clear",0.5925,0.571975,0.59875,0.144904,2634,4344,6978,19.8475,21.75035,59.875,9.708568,1
535,6/18/2012,"spring",2012,6,"no",1,"yes","mist",0.568333,0.544842,0.777917,0.174746,653,4446,5099,18.711651,19.959572,77.7917,11.707982,1
536,6/19/2012,"spring",2012,6,"no",2,"yes","clear",0.688333,0.654692,0.69,0.148017,968,5857,6825,24.351651,27.209672,69,9.917139,1
537,6/20/2012,"spring",2012,6,"no",3,"yes","clear",0.7825,0.720975,0.592083,0.113812,872,5339,6211,28.7775,31.58435,59.2083,7.625404,1
538,6/21/2012,"summer",2012,6,"no",4,"yes","clear",0.805833,0.752542,0.567917,0.118787,778,5127,5905,29.874151,33.667772,56.7917,7.958729,1
539,6/22/2012,"summer",2012,6,"no",5,"yes","clear",0.7775,0.724121,0.57375,0.182842,964,4859,5823,28.5425,31.791986,57.375,12.250414,1
540,6/23/2012,"summer",2012,6,"no",6,"no","clear",0.731667,0.652792,0.534583,0.179721,2657,4801,7458,26.388349,27.084272,53.4583,12.041307,1
543,6/26/2012,"summer",2012,6,"no",2,"yes","clear",0.630833,0.594704,0.373333,0.347642,1077,6365,7442,21.649151,23.250464,37.3333,23.292014,1
544,6/27/2012,"summer",2012,6,"no",3,"yes","clear",0.6975,0.640792,0.36,0.271775,1077,6258,7335,24.7825,26.292272,36,18.208925,1
548,7/1/2012,"summer",2012,7,"no",0,"no","clear",0.815833,0.750629,0.51875,0.168529,1421,4110,5531,30.344151,33.541514,51.875,11.291443,1
549,7/2/2012,"summer",2012,7,"no",1,"yes","clear",0.781667,0.702038,0.447083,0.195267,904,5323,6227,28.738349,30.334508,44.7083,13.082889,1
551,7/4/2012,"summer",2012,7,"yes",3,"no","clear",0.789167,0.732337,0.53875,0.13495,2562,4841,7403,29.090849,32.334242,53.875,9.04165,1
555,7/8/2012,"summer",2012,7,"no",0,"no","clear",0.8225,0.790396,0.57375,0.125629,1203,3469,4672,30.6575,36.166136,57.375,8.417143,1
556,7/9/2012,"summer",2012,7,"no",1,"yes","mist",0.710833,0.654054,0.683333,0.180975,998,5571,6569,25.409151,27.167564,68.3333,12.125325,1
557,7/10/2012,"summer",2012,7,"no",2,"yes","mist",0.720833,0.664796,0.6675,0.151737,954,5336,6290,25.879151,27.876536,66.75,10.166379,1
558,7/11/2012,"summer",2012,7,"no",3,"yes","clear",0.716667,0.650271,0.633333,0.151733,975,6289,7264,25.683349,26.917886,63.3333,10.166111,1
561,7/14/2012,"summer",2012,7,"no",6,"no","mist",0.703333,0.666042,0.699167,0.143679,2355,4614,6969,25.056651,27.958772,69.9167,9.626493,1
562,7/15/2012,"summer",2012,7,"no",0,"no","clear",0.745833,0.705196,0.717917,0.166667,1920,4111,6031,27.054151,30.542936,71.7917,11.166689,1
563,7/16/2012,"summer",2012,7,"no",1,"yes","clear",0.763333,0.724125,0.645,0.164187,1088,5742,6830,27.876651,31.79225,64.5,11.000529,1
564,7/17/2012,"summer",2012,7,"no",2,"yes","clear",0.818333,0.755683,0.505833,0.114429,921,5865,6786,30.461651,33.875078,50.5833,7.666743,1
565,7/18/2012,"summer",2012,7,"no",3,"yes","clear",0.793333,0.745583,0.577083,0.137442,799,4914,5713,29.286651,33.208478,57.7083,9.208614,1
566,7/19/2012,"summer",2012,7,"no",4,"yes","clear",0.77,0.714642,0.600417,0.165429,888,5703,6591,28.19,31.166372,60.0417,11.083743,1
569,7/22/2012,"summer",2012,7,"no",0,"no","mist",0.6675,0.623125,0.7625,0.0939208,2544,4866,7410,23.3725,25.12625,76.25,6.2926936,1
570,7/23/2012,"summer",2012,7,"no",1,"yes","clear",0.741667,0.690017,0.694167,0.138683,1135,5831,6966,26.858349,29.541122,69.4167,9.291761,1
571,7/24/2012,"summer",2012,7,"no",2,"yes","clear",0.750833,0.70645,0.655,0.211454,1140,6452,7592,27.289151,30.6257,65.5,14.167418,1
572,7/25/2012,"summer",2012,7,"no",3,"yes","clear",0.724167,0.654054,0.45,0.1648,1383,6790,8173,26.035849,27.167564,45,11.0416,1
577,7/30/2012,"summer",2012,7,"no",1,"yes","clear",0.730833,0.684987,0.66875,0.153617,1040,6065,7105,26.349151,29.209142,66.875,10.292339,1
578,7/31/2012,"summer",2012,7,"no",2,"yes","clear",0.713333,0.662896,0.704167,0.165425,968,6248,7216,25.526651,27.751136,70.4167,11.083475,1
581,8/3/2012,"summer",2012,8,"no",5,"yes","mist",0.765833,0.722867,0.6425,0.215792,1328,5847,7175,27.994151,31.709222,64.25,14.458064,1
582,8/4/2012,"summer",2012,8,"no",6,"no","clear",0.793333,0.751267,0.613333,0.257458,2345,4479,6824,29.286651,33.583622,61.3333,17.249686,1
584,8/6/2012,"summer",2012,8,"no",1,"yes","mist",0.7525,0.710246,0.654167,0.129354,1233,5780,7013,27.3675,30.876236,65.4167,8.666718,1
587,8/9/2012,"summer",2012,8,"no",4,"yes","clear",0.755833,0.699508,0.620417,0.1561,1196,6090,7286,27.524151,30.167528,62.0417,10.4587,1
588,8/10/2012,"summer",2012,8,"no",5,"yes","mist",0.715833,0.667942,0.715833,0.238813,1065,4721,5786,25.644151,28.084172,71.5833,16.000471,1
590,8/12/2012,"summer",2012,8,"no",0,"no","clear",0.700833,0.644579,0.530417,0.122512,2182,4362,6544,24.939151,26.542214,53.0417,8.208304,1
591,8/13/2012,"summer",2012,8,"no",1,"yes","clear",0.720833,0.662254,0.545417,0.136212,1207,5676,6883,25.879151,27.708764,54.5417,9.126204,1
595,8/17/2012,"summer",2012,8,"no",5,"yes","clear",0.723333,0.2424,0.570833,0.231354,1483,5665,7148,25.996651,-0.00159999999999982,57.0833,15.500718,1
602,8/24/2012,"summer",2012,8,"no",5,"yes","mist",0.7025,0.6471,0.615,0.0721458,1325,6257,7582,25.0175,26.7086,61.5,4.8337686,1
603,8/25/2012,"summer",2012,8,"no",6,"no","mist",0.661667,0.618696,0.712917,0.244408,1829,4224,6053,23.098349,24.833936,71.2917,16.375336,1
605,8/27/2012,"summer",2012,8,"no",1,"yes","clear",0.703333,0.654688,0.730417,0.128733,989,5928,6917,25.056651,27.209408,73.0417,8.625111,1
606,8/28/2012,"summer",2012,8,"no",2,"yes","clear",0.728333,0.66605,0.62,0.190925,935,6105,7040,26.231651,27.9593,62,12.791975,1
609,8/31/2012,"summer",2012,8,"no",5,"yes","clear",0.764167,0.6894,0.5875,0.168533,1433,5917,7350,27.915849,29.5004,58.75,11.291711,1
613,9/4/2012,"summer",2012,9,"no",2,"yes","clear",0.725833,0.686888,0.755,0.236321,867,5997,6864,26.114151,29.334608,75.5,15.833507,1
616,9/7/2012,"summer",2012,9,"no",5,"yes","clear",0.703333,0.657204,0.73625,0.171646,1045,6459,7504,25.056651,27.375464,73.625,11.500282,1
618,9/9/2012,"summer",2012,9,"no",0,"no","clear",0.61,0.578925,0.5475,0.224496,2570,5657,8227,20.67,22.20905,54.75,15.041232,1
622,9/13/2012,"summer",2012,9,"no",4,"yes","clear",0.6125,0.579558,0.637083,0.0827208,1054,6750,7804,20.7875,22.250828,63.7083,5.5422936,1
623,9/14/2012,"summer",2012,9,"no",5,"yes","clear",0.633333,0.594083,0.6725,0.103863,1379,6630,8009,21.766651,23.209478,67.25,6.958821,1
626,9/17/2012,"summer",2012,9,"no",1,"yes","mist",0.580833,0.55305,0.734583,0.151742,1022,5847,6869,19.299151,20.5013,73.4583,10.166714,1
627,9/18/2012,"summer",2012,9,"no",2,"yes","mist",0.623333,0.565067,0.8725,0.357587,371,3702,4073,21.296651,21.294422,87.25,23.958329,1
629,9/20/2012,"summer",2012,9,"no",4,"yes","clear",0.546667,0.532192,0.618333,0.118167,939,6781,7720,17.693349,19.124672,61.8333,7.917189,1
630,9/21/2012,"summer",2012,9,"no",5,"yes","clear",0.599167,0.571971,0.66875,0.154229,1250,6917,8167,20.160849,21.750086,66.875,10.333343,1
634,9/25/2012,"fall",2012,9,"no",2,"yes","clear",0.55,0.544179,0.57,0.236321,845,6693,7538,17.85,19.915814,57,15.833507,1
635,9/26/2012,"fall",2012,9,"no",3,"yes","clear",0.635,0.596613,0.630833,0.2444,787,6946,7733,21.845,23.376458,63.0833,16.3748,1
636,9/27/2012,"fall",2012,9,"no",4,"yes","mist",0.65,0.607975,0.690833,0.134342,751,6642,7393,22.55,24.12635,69.0833,9.000914,1
639,9/30/2012,"fall",2012,9,"no",0,"no","clear",0.526667,0.517663,0.583333,0.134958,2015,4874,6889,16.753349,18.165758,58.3333,9.042186,1
641,10/2/2012,"fall",2012,10,"no",2,"yes","light precipitation",0.590833,0.542333,0.871667,0.104475,315,4324,4639,19.769151,19.793978,87.1667,6.999825,1
642,10/3/2012,"fall",2012,10,"no",3,"yes","mist",0.6575,0.599133,0.79375,0.0665458,728,6844,7572,22.9025,23.542778,79.375,4.4585686,1
644,10/5/2012,"fall",2012,10,"no",5,"yes","clear",0.615,0.580187,0.6275,0.10635,1516,6640,8156,20.905,22.292342,62.75,7.12545,1
645,10/6/2012,"fall",2012,10,"no",6,"no","clear",0.554167,0.538521,0.664167,0.268025,3031,4934,7965,18.045849,19.542386,66.4167,17.957675,1
647,10/8/2012,"fall",2012,10,"yes",1,"no","mist",0.383333,0.387608,0.709583,0.189679,874,4604,5478,10.016651,9.582128,70.9583,12.708493,1
651,10/12/2012,"fall",2012,10,"no",5,"yes","clear",0.4375,0.433071,0.539167,0.235092,1060,6222,7282,12.5625,12.582686,53.9167,15.751164,1
652,10/13/2012,"fall",2012,10,"no",6,"no","clear",0.393333,0.391396,0.494583,0.146142,2252,4857,7109,10.486651,9.832136,49.4583,9.791514,1
653,10/14/2012,"fall",2012,10,"no",0,"no","clear",0.521667,0.508204,0.640417,0.278612,2080,4559,6639,16.518349,17.541464,64.0417,18.667004,1
655,10/16/2012,"fall",2012,10,"no",2,"yes","clear",0.468333,0.460846,0.558333,0.182221,922,6612,7534,14.011651,14.415836,55.8333,12.208807,1
656,10/17/2012,"fall",2012,10,"no",3,"yes","clear",0.455833,0.450108,0.692917,0.101371,979,6482,7461,13.424151,13.707128,69.2917,6.791857,1
657,10/18/2012,"fall",2012,10,"no",4,"yes","mist",0.5225,0.512625,0.728333,0.236937,1008,6501,7509,16.5575,17.83325,72.8333,15.874779,1
658,10/19/2012,"fall",2012,10,"no",5,"yes","mist",0.563333,0.537896,0.815,0.134954,753,4671,5424,18.476651,19.501136,81.5,9.041918,1
659,10/20/2012,"fall",2012,10,"no",6,"no","clear",0.484167,0.472842,0.572917,0.117537,2806,5284,8090,14.755849,15.207572,57.2917,7.874979,1
660,10/21/2012,"fall",2012,10,"no",0,"no","clear",0.464167,0.456429,0.51,0.166054,2132,4692,6824,13.815849,14.124314,51,11.125618,1
662,10/23/2012,"fall",2012,10,"no",2,"yes","clear",0.544167,0.530304,0.641667,0.0945458,841,6625,7466,17.575849,19.000064,64.1667,6.3345686,1
663,10/24/2012,"fall",2012,10,"no",3,"yes","clear",0.5875,0.558721,0.63625,0.0727792,795,6898,7693,19.6125,20.875586,63.625,4.8762064,1
665,10/26/2012,"fall",2012,10,"no",5,"yes","mist",0.545833,0.52275,0.807083,0.132467,1182,6262,7444,17.654151,18.5015,80.7083,8.875289,1
668,10/29/2012,"fall",2012,10,"no",1,"yes","light precipitation",0.44,0.4394,0.88,0.3582,2,20,22,12.68,13.0004,88,23.9994,1
670,10/31/2012,"fall",2012,10,"no",3,"yes","mist",0.3575,0.3611,0.666667,0.166667,419,5147,5566,8.8025,7.8326,66.6667,11.166689,1
671,11/1/2012,"fall",2012,11,"no",4,"yes","mist",0.365833,0.369942,0.581667,0.157346,466,5520,5986,9.194151,8.416172,58.1667,10.542182,1
674,11/4/2012,"fall",2012,11,"no",0,"no","clear",0.325833,0.329538,0.532917,0.179108,1201,3906,5107,7.314151,5.749508,53.2917,12.000236,1
675,11/5/2012,"fall",2012,11,"no",1,"yes","clear",0.319167,0.308075,0.494167,0.236325,378,4881,5259,7.000849,4.33295,49.4167,15.833775,1
676,11/6/2012,"fall",2012,11,"no",2,"yes","clear",0.280833,0.281567,0.567083,0.173513,466,5220,5686,5.199151,2.583422,56.7083,11.625371,1
